,t,inlet,1,2,3,4,5
1296,77.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1297,77.82,0,0.0,0.0,0.0,0.0,0.0
1298,77.88,0,0.0,0.0,0.0,0.0,0.0
1299,77.94,0,0.0,0.0,0.0,0.0,0.0
1300,78.0,0,0.0,0.0,0.0,0.0,0.0
1301,78.06,0,0.0,0.0,0.0,0.0,0.0
1302,78.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1303,78.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1304,78.24,0,0.0,0.0,0.0,0.0,0.0
1305,78.3,0,0.0,0.0,0.0,0.0,0.0
1306,78.36,0,0.0,0.0,0.0,0.0,0.0
1307,78.42,0,0.0,0.0,0.0,0.0,0.0
1308,78.48,0,0.0,0.0,0.0,0.0,0.0
1309,78.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1310,78.6,0,0.0,0.0,0.0,0.0,0.0
1311,78.66,0,0.0,0.0,0.0,0.0,0.0
1312,78.72,0,0.0,0.0,0.0,0.0,0.0
1313,78.78,0,0.0,0.0,0.0,0.0,0.0
1314,78.84,0,0.0,0.0,0.0,0.0,0.0
1315,78.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1316,78.96,0,0.0,0.0,0.0,0.0,0.0
1317,79.02,0,0.0,0.0,0.0,0.0,0.0
1318,79.08,0,0.0,0.0,0.0,0.0,0.0
1319,79.14,0,0.0,0.0,0.0,0.0,0.0
1320,79.2,0,0.0,0.0,0.0,0.0,0.0
1321,79.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1322,79.32,0,0.0,0.0,0.0,0.0,0.0
1323,79.38,0,0.0,0.0,0.0,0.0,0.0
1324,79.44,0,0.0,0.0,0.0,0.0,0.0
1325,79.5,0,0.0,0.0,0.0,0.0,0.0
1326,79.56,0,0.0,0.0,0.0,0.0,0.0
1327,79.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1328,79.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1329,79.74,0,0.0,0.0,0.0,0.0,0.0
1330,79.8,0,0.0,0.0,0.0,0.0,0.0
1331,79.86,0,0.0,0.0,0.0,0.0,0.0
1332,79.92,0,0.0,0.0,0.0,0.0,0.0
1333,79.98,0,0.0,0.0,0.0,0.0,0.0
1334,80.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1335,80.1,0,0.0,0.0,0.0,0.0,0.0
1336,80.16,0,0.0,0.0,0.0,0.0,0.0
1337,80.22,0,0.0,0.0,0.0,0.0,0.0
1338,80.28,0,0.0,0.0,0.0,0.0,0.0
1339,80.34,0,0.0,0.0,0.0,0.0,0.0
1340,80.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1341,80.46,0,0.0,0.0,0.0,0.0,0.0
1342,80.52,0,0.0,0.0,0.0,0.0,0.0
1343,80.58,0,0.0,0.0,0.0,0.0,0.0
1344,80.64,0,0.0,0.0,0.0,0.0,0.0
1345,80.7,0,0.0,0.0,0.0,0.0,0.0
1346,80.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1347,80.82,0,0.0,0.0,0.0,0.0,0.0
1348,80.88,0,0.0,0.0,0.0,0.0,0.0
1349,80.94,0,0.0,0.0,0.0,0.0,0.0
1350,81.0,0,0.0,0.0,0.0,0.0,0.0
1351,81.06,0,0.0,0.0,0.0,0.0,0.0
1352,81.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1353,81.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1354,81.24,0,0.0,0.0,0.0,0.0,0.0
1355,81.3,0,0.0,0.0,0.0,0.0,0.0
1356,81.36,0,0.0,0.0,0.0,0.0,0.0
1357,81.42,0,0.0,0.0,0.0,0.0,0.0
1358,81.48,0,0.0,0.0,0.0,0.0,0.0
1359,81.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1360,81.6,0,0.0,0.0,0.0,0.0,0.0
1361,81.66,0,0.0,0.0,0.0,0.0,0.0
1362,81.72,0,0.0,0.0,0.0,0.0,0.0
1363,81.78,0,0.0,0.0,0.0,0.0,0.0
1364,81.84,0,0.0,0.0,0.0,0.0,0.0
1365,81.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1366,81.96,0,0.0,0.0,0.0,0.0,0.0
1367,82.02,0,0.0,0.0,0.0,0.0,0.0
1368,82.08,0,0.0,0.0,0.0,0.0,0.0
1369,82.14,0,0.0,0.0,0.0,0.0,0.0
1370,82.2,0,0.0,0.0,0.0,0.0,0.0
1371,82.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1372,82.32,0,0.0,0.0,0.0,0.0,0.0
1373,82.38,0,0.0,0.0,0.0,0.0,0.0
1374,82.44,0,0.0,0.0,0.0,0.0,0.0
1375,82.5,0,0.0,0.0,0.0,0.0,0.0
1376,82.56,0,0.0,0.0,0.0,0.0,0.0
1377,82.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1378,82.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1379,82.74,0,0.0,0.0,0.0,0.0,0.0
1380,82.8,0,0.0,0.0,0.0,0.0,0.0
1381,82.86,0,0.0,0.0,0.0,0.0,0.0
1382,82.92,0,0.0,0.0,0.0,0.0,0.0
1383,82.98,0,0.0,0.0,0.0,0.0,0.0
1384,83.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1385,83.1,0,0.0,0.0,0.0,0.0,0.0
1386,83.16,0,0.0,0.0,0.0,0.0,0.0
1387,83.22,0,0.0,0.0,0.0,0.0,0.0
1388,83.28,0,0.0,0.0,0.0,0.0,0.0
1389,83.34,0,0.0,0.0,0.0,0.0,0.0
1390,83.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1391,83.46,0,0.0,0.0,0.0,0.0,0.0
1392,83.52,0,0.0,0.0,0.0,0.0,0.0
1393,83.58,0,0.0,0.0,0.0,0.0,0.0
1394,83.64,0,0.0,0.0,0.0,0.0,0.0
1395,83.7,0,0.0,0.0,0.0,0.0,0.0
1396,83.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1397,83.82,0,0.0,0.0,0.0,0.0,0.0
1398,83.88,0,0.0,0.0,0.0,0.0,0.0
1399,83.94,0,0.0,0.0,0.0,0.0,0.0
1400,84.0,0,0.0,0.0,0.0,0.0,0.0
1401,84.06,0,0.0,0.0,0.0,0.0,0.0
1402,84.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1403,84.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1404,84.24,0,0.0,0.0,0.0,0.0,0.0
1405,84.3,0,0.0,0.0,0.0,0.0,0.0
1406,84.36,0,0.0,0.0,0.0,0.0,0.0
1407,84.42,0,0.0,0.0,0.0,0.0,0.0
1408,84.47999999999999,0,0.0,0.0,0.0,0.0,0.0
1409,84.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1410,84.6,0,0.0,0.0,0.0,0.0,0.0
1411,84.66,0,0.0,0.0,0.0,0.0,0.0
1412,84.72,0,0.0,0.0,0.0,0.0,0.0
1413,84.78,0,0.0,0.0,0.0,0.0,0.0
1414,84.84,0,0.0,0.0,0.0,0.0,0.0
1415,84.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1416,84.96,0,0.0,0.0,0.0,0.0,0.0
1417,85.02,0,0.0,0.0,0.0,0.0,0.0
1418,85.08,0,0.0,0.0,0.0,0.0,0.0
1419,85.14,0,0.0,0.0,0.0,0.0,0.0
1420,85.2,0,0.0,0.0,0.0,0.0,0.0
1421,85.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1422,85.32,0,0.0,0.0,0.0,0.0,0.0
1423,85.38,0,0.0,0.0,0.0,0.0,0.0
1424,85.44,0,0.0,0.0,0.0,0.0,0.0
1425,85.5,0,0.0,0.0,0.0,0.0,0.0
1426,85.56,0,0.0,0.0,0.0,0.0,0.0
1427,85.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1428,85.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1429,85.74,0,0.0,0.0,0.0,0.0,0.0
1430,85.8,0,0.0,0.0,0.0,0.0,0.0
1431,85.86,0,0.0,0.0,0.0,0.0,0.0
1432,85.92,0,0.0,0.0,0.0,0.0,0.0
1433,85.97999999999999,0,0.0,0.0,0.0,0.0,0.0
1434,86.03999999999999,0,0.0,0.0,0.0,0.0,0.0
1435,86.1,0,0.0,0.0,0.0,0.0,0.0
1436,86.16,0,0.0,0.0,0.0,0.0,0.0
1437,86.22,0,0.0,0.0,0.0,0.0,0.0
1438,86.28,0,0.0,0.0,0.0,0.0,0.0
1439,86.34,0,0.0,0.0,0.0,0.0,0.0
1440,86.39999999999999,0,0.0,0.0,0.0,0.0,0.0
1441,86.46,0,0.0,0.0,0.0,0.0,0.0
1442,86.52,0,0.0,0.0,0.0,0.0,0.0
1443,86.58,0,0.0,0.0,0.0,0.0,0.0
1444,86.64,0,0.0,0.0,0.0,0.0,0.0
1445,86.7,0,0.0,0.0,0.0,0.0,0.0
1446,86.75999999999999,0,0.0,0.0,0.0,0.0,0.0
1447,86.82,0,0.0,0.0,0.0,0.0,0.0
1448,86.88,0,0.0,0.0,0.0,0.0,0.0
1449,86.94,0,0.0,0.0,0.0,0.0,0.0
1450,87.0,0,0.0,0.0,0.0,0.0,0.0
1451,87.06,0,0.0,0.0,0.0,0.0,0.0
1452,87.11999999999999,0,0.0,0.0,0.0,0.0,0.0
1453,87.17999999999999,0,0.0,0.0,0.0,0.0,0.0
1454,87.24,0,0.0,0.0,0.0,0.0,0.0
1455,87.3,0,0.0,0.0,0.0,0.0,0.0
1456,87.36,0,0.0,0.0,0.0,0.0,0.0
1457,87.42,0,0.0,0.0,0.0,0.0,0.0
1458,87.47999999999999,0,0.0,0.0,0.0,0.0,0.0
1459,87.53999999999999,0,0.0,0.0,0.0,0.0,0.0
1460,87.6,0,0.0,0.0,0.0,0.0,0.0
1461,87.66,0,0.0,0.0,0.0,0.0,0.0
1462,87.72,0,0.0,0.0,0.0,0.0,0.0
1463,87.78,0,0.0,0.0,0.0,0.0,0.0
1464,87.84,0,0.0,0.0,0.0,0.0,0.0
1465,87.89999999999999,0,0.0,0.0,0.0,0.0,0.0
1466,87.96,0,0.0,0.0,0.0,0.0,0.0
1467,88.02,0,0.0,0.0,0.0,0.0,0.0
1468,88.08,0,0.0,0.0,0.0,0.0,0.0
1469,88.14,0,0.0,0.0,0.0,0.0,0.0
1470,88.2,0,0.0,0.0,0.0,0.0,0.0
1471,88.25999999999999,0,0.0,0.0,0.0,0.0,0.0
1472,88.32,0,0.0,0.0,0.0,0.0,0.0
1473,88.38,0,0.0,0.0,0.0,0.0,0.0
1474,88.44,0,0.0,0.0,0.0,0.0,0.0
1475,88.5,0,0.0,0.0,0.0,0.0,0.0
1476,88.56,0,0.0,0.0,0.0,0.0,0.0
1477,88.61999999999999,0,0.0,0.0,0.0,0.0,0.0
1478,88.67999999999999,0,0.0,0.0,0.0,0.0,0.0
1479,88.74,0,0.0,0.0,0.0,0.0,0.0
